hanzi_simplified,hanzi_traditional,pinyin,meaning,mnemonic_simplified,mnemonic_traditional,hsk
久,久,jiǔ,,,,2
礼,禮,lǐ,,,,2
湖,湖,hú,,,,2
随,隨,suí,,,,2
喂,喂餵,wèi,,,,2
爬,爬,pá,,,,2
宜,宜,yí,,,,2
处,處,chù,,,,2
云,云雲,yún,nube,Con UN ANTEBRAZO nos protegemos de la lluvia de esta NUBE.,"El agua que se transformará en LLUVIA sube al cielo en forma de vapor contenido en NUBES, y se queda almacenada en las NUBES.",2
铁,鐵,tiě,,,,2
草,草,cǎo,,,,2
业,業,yè,,,,2
夏,夏,xià,,,,2
例,例,lì,,,,2
疼,疼,téng,,,,2
复,復複,fù,"replegar, restaurar",Hacia donde los soldados puedan RECLINARSE y descansar sus PIERNAS ANDANTES luego de un DÍA de combate nos REPLEGAMOS.,Hacia donde los soldados puedan RECLINARSE y descansar sus PIERNAS ANDANTES luego de un DÍA de combate nos REPLEGAMOS.,2
晨,晨,chén,,,,2
碗,碗,wǎn,,,,2
碰,碰,pèng,,,,2
姓,姓,xìng,,,,2
静,靜,jìng,,,,2
舒,舒,shū,,,,2
冬,鼕冬,dōng,,,,2
斤,斤,jīn,,,,2
于,於于,yú,,,,2
刻,刻,kè,,,,2
熟,熟,shú,,,,2
温,溫,wēn,,,,2
忽,忽,hū,,,,2
篮,籃,lán,,,,2
阴,陰,yīn,,,,2
春,春,chūn,,,,2
餐,餐,cān,,,,2
共,共,gòng,,,,2
澡,澡,zǎo,,,,2
凉,涼,liáng,,,,2
椅,椅,yǐ,,,,2
脏,髒臟,zàng,,,,2
晴,晴,qíng,,,,2
堂,堂,táng,,,,2
饱,飽,bǎo,,,,2
秋,秋,qiū,,,,2
护,護,hù,,,,2
印,印,yìn,,,,2
筷,筷,kuài,,,,2
饺,餃,jiǎo,,,,2
典,典,diǎn,,,,2
板,板闆,bǎn,,,,2
王,王,wáng,rey,Pictograma del cetro de un REY.,Pictograma del cetro de un REY.,2
被,被,bèi,,,,3
把,把,bǎ,,,,3
并,並併,bìng,fila,ABRIMOS los CUERNOS para ponerlos en una FILA.,Pictograma de una FILA.,3
始,始,shǐ,,,,3
极,極,jí,,,,3
种,種,zhǒng,,,,3
需,需,xū,,,,3
希,希,xī,,,,3
望,朢望,wàng,,,,3
况,況,kuàng,,,,3
世,世,shì,,,,3
界,界,jiè,,,,3
内,內,nèi,interior,Este CINTURÓN tiene a esta PERSONA en su INTERIOR.,Este CINTURÓN tiene a esta PERSONA en su INTERIOR.,3
每,每,měi,,,,3
美,美,měi,,,,3
继,繼,jì,,,,3
续,續,xù,,,,3
张,張,zhāng,,,,3
总,總,zǒng,,,,3
赛,賽,sài,,,,3
任,任,rèn,,,,3
何,何,hé,,,,3
决,決,jué,,,,3
连,連,lián,,,,3
较,較,jiào,,,,3
城,城,chéng,,,,3
式,式,shì,,,,3
解,解,jiě,,,,3
死,死,sǐ,,,,3
员,員,yuán,,,,3
展,展,zhǎn,,,,3
支,支,zhī,,,,3
持,持,chí,,,,3
功,功,gōng,,,,3
此,此,cǐ,,,,3
社,社,shè,,,,3
消,消,xiāo,,,,3
强,強,qiáng,,,,3
技,技,jì,,,,3
术,術,shù,,,,3
切,切,qiè,,,,3
调,調,diào,,,,3
区,區,qū,,,,3
束,束,shù,,,,3
存,存,cún,,,,3
代,代,dài,,,,3
整,整,zhěng,,,,3
除,除,chú,,,,3
台,台檯臺颱,tái,,,,3
按,按,àn,,,,3
设,設,shè,,,,3
戏,戲,xì,,,,3
精,精,jīng,,,,3
神,神,shén,,,,3
注,注註,zhù,,,,3
各,各,gè,cada uno,"Tanto las PIERNAS ANDANTES como la BOCA, CADA UNO tiene su forma de usarlas.","Tanto las PIERNAS ANDANTES como la BOCA, CADA UNO tiene su forma de usarlas.",3
另,另,lìng,,,,3
双,雙,shuāng,,,,3
线,線,xiàn,,,,3
约,約,yuē,,,,3
保,保,bǎo,,,,3
转,轉,zhuǎn,,,,3
突,突,tū,,,,3
终,終,zhōng,,,,3
联,聯,lián,,,,3
指,指,zhǐ,,,,3
标,標,biāo,,,,3
拍,拍,pāi,,,,3
金,金,jīn,,,,3
管,管,guǎn,,,,3
根,根,gēn,,,,3
容,容,róng,,,,3
易,易,yì,,,,3
程,程,chéng,,,,3
建,建,jiàn,,,,3
议,議,yì,,,,3
济,濟,jì,,,,3
曾,曾,céng,anteriormente,Todos los DÍAS se ponían CUERNOS alrededor de los ARROZALES para asustar a los malos espíritus ANTERIORMENTE.,Todos los DÍAS se ponían CUERNOS alrededor de los ARROZALES para asustar a los malos espíritus ANTERIORMENTE.,3
民,民,mín,,,,3
坚,堅,jiān,,,,3
规,規,guī,,,,3
环,環,huán,,,,3
境,境,jìng,,,,3
证,證証,zhèng,,,,3
责,責,zé,,,,3
造,造,zào,,,,3
显,顯,xiǎn,,,,3
简,簡,jiǎn,,,,3
专,專,zhuān,,,,3
基,基,jī,,,,3
仍,仍,réng,,,,3
父,父,fù,padre,Cuatro GOTAS de sudor hay en la frente de este PADRE que trabaja sin descanso.,Cuatro GOTAS de sudor hay en la frente de este PADRE que trabaja sin descanso.,3
亲,親,qīn,,,,3
性,性,xìng,,,,3
某,某,mǒu,algún,"Esta CESTA olvidada bajo un ÁRBOL, de seguro es para ALGÚN propósito.","Esta CESTA olvidada bajo un ÁRBOL, de seguro es para ALGÚN propósito.",3
命,命,mìng,,,,3
达,達,dá,,,,3
义,義,yì,,,,3
断,斷,duàn,,,,3
类,類,lèi,,,,3
媒,媒,méi,,,,3
首,首,shǒu,,,,3
母,母,mǔ,,,,3
化,化,huà,,,,3
立,立,lì,parado,"Pictograma de una persona en postura vertical, es decir, PARADO.","Pictograma de una persona en postura vertical, es decir, PARADO.",3
产,產,chǎn,producción,"Estoy PARADO en este PRECIPICIO, arriesgando la vida por la PRODUCCIÓN.","Estoy PARADO en este PRECIPICIO, arriesgando la VIDA por la PRODUCCIÓN.",3
光,光,guāng,,,,3
派,派,pài,,,,3
负,負,fù,,,,3
仅,僅,jǐn,,,,3
谈,談,tán,,,,3
深,深,shēn,,,,3
领,領,lǐng,,,,3
导,導,dǎo,,,,3
增,增,zēng,aumento,En comparación con ANTERIORMENTE esta TIERRA ha AUMENTADO su valor.,En comparación con ANTERIORMENTE esta TIERRA ha AUMENTADO su valor.,3
至,至,zhì,,,,3
训,訓,xùn,,,,3
压,壓,yā,,,,3
价,價,jià,,,,3
值,值,zhí,,,,3
绝,絕,jué,,,,3
属,屬,shǔ,,,,3
格,格,gé,,,,3
底,底,dǐ,,,,3
历,曆歷,lì,,,,3
验,驗,yàn,,,,3
状,狀,zhuàng,,,,3
品,品,pǐn,,,,3
步,步,bù,,,,3
伤,傷,shāng,,,,3
具,具,jù,,,,3
困,睏困,kùn,,,,3
幸,幸倖,xìng,,,,3
福,福,fú,,,,3
众,眾,zhòng,,,,3
婚,婚,hūn,,,,3
抓,抓,zhuā,,,,3
警,警,jǐng,,,,3
察,察,chá,,,,3
效,效,xiào,,,,3
范,範,fàn,,,,3
围,圍,wéi,,,,3
紧,緊,jǐn,,,,3
集,集,jí,coleccionar,En este ÁRBOL PÁJAROS COLECCIONAMOS.,En este ÁRBOL PÁJAROS COLECCIONAMOS.,3
血,血,xuè,,,,3
速,速,sù,,,,3
艺,藝,yì,,,,3
纪,紀,jì,,,,3
职,職,zhí,,,,3
失,失,shī,,,,3
营,營,yíng,,,,3
演,演,yǎn,,,,3
挂,掛,guà,,,,3
群,群,qún,,,,3
龙,龍,lóng,dragón,Hay SIETE GOTAS de fuego a cada LADO de este DRAGÓN.,PARADO bajo la LUNA lanza TRES ANZUELOS de fuego como si fueran LAZOS este  DRAGÓN.,3
资,資,zī,,,,3
丽,麗,lì,,,,3
跳,跳,tiào,,,,3
反,反,fǎn,,,,3
传,傳,chuán,,,,3
采,采採,cǎi,recolectar,Golpeando este ÁRBOL con las UÑAS podemos RECOLECTAR lo que cae.,Golpeando este ÁRBOL con las UÑAS podemos RECOLECTAR lo que cae.,3
充,充,chōng,,,,3
础,礎,chǔ,,,,3
朝,朝,cháo,,,,3
宣,宣,xuān,,,,3
布,布,bù,,,,3
乱,亂,luàn,,,,3
创,創,chuàng,,,,3
足,足,zú,"pie, suficiente",Acomodamos de manera CORRECTA la BOCA de nuestro calzado para tener cómodo nuestro PIE.,Acomodamos de manera CORRECTA la BOCA de nuestro calzado para tener cómodo nuestro PIE.,3
形,形,xíng,forma,"Cuando deseamos una FORMA específica , con las DOS MANOS le damos aquella FORMA al objeto.","Cuando deseamos una FORMA específica , con las DOS MANOS le damos aquella FORMA al objeto.",3
初,初,chū,,,,3
破,破,pò,,,,3
危,危,wēi,,,,3
险,險,xiǎn,,,,3
录,錄彔,lù,,,,3
团,糰團,tuán,,,,3
追,追,zhuī,,,,3
积,積,jī,,,,3
架,架,jià,,,,3
章,章,zhāng,insignia,Esta persona está TEMPRANO PARADO con su INSIGNIA.,Esta persona está TEMPRANO PARADO con su INSIGNIA.,3
村,村,cūn,,,,3
彩,彩,cǎi,,,,3
刀,刀,dāo,,,,3
误,誤,wù,,,,3
胜,勝,shèng,,,,3
制,制製,zhì,,,,3
救,救,jiù,,,,3
敢,敢,gǎn,,,,3
优,優,yōu,,,,3
势,勢,shì,,,,3
杂,雜,zá,,,,3
志,志誌,zhì,,,,3
赢,贏,yíng,,,,3
待,待,dài,,,,3
象,象,xiàng,,,,3
费,費,fèi,,,,3
皮,皮,pí,,,,3
概,概,gài,,,,3
顿,頓,dùn,,,,3
痛,痛,tòng,,,,3
苦,苦,kǔ,,,,3
升,升,shēng,,,,3
旧,舊,jiù,,,,3
及,及,jí,,,,3
桥,橋,qiáo,,,,3
香,香,xiāng,,,,3
烈,烈,liè,,,,3
评,評,píng,,,,3
输,輸,shū,,,,3
伟,偉,wěi,,,,3
止,止,zhǐ,detenerse,Interpretaremos este carácter como el pictograma de una huella de un pie que estuvo DETENIDO.,Interpretaremos este carácter como el pictograma de una huella de un pie que estuvo DETENIDO.,3
修,脩修,xiū,,,,3
配,配,pèi,,,,3
武,武,wǔ,,,,3
器,器,qì,,,,3
丰,豐丰,fēng,,,,3
富,富,fù,,,,3
防,防,fáng,,,,3
麻,麻,má,cáñamo,En esta AMPLIA ARBOLEDA se planta CÁÑAMO.,En esta AMPLIA ARBOLEDA se planta CÁÑAMO.,3
烦,煩,fán,,,,3
退,退,tuì,,,,3
猪,豬,zhū,,,,3
似,似,shì,,,,3
古,古,gǔ,viejo,Esta BOCA ya tiene una CRUZ porque es muy VIEJA.,Esta BOCA ya tiene una CRUZ porque es muy VIEJA.,3
厂,厂廠,chǎng,"precipicio, fábrica",Pictograma de un PRECIPICIO.,Pictograma de un PRECIPICIO.,3
农,農,nóng,,,,3
舞,舞,wǔ,,,,3
姑,姑,gū,,,,3
娘,娘,niáng,,,,3
奇,奇,qí,,,,3
怪,怪,guài,,,,3
付,付,fù,pagar,Esta PERSONA de acuerdo a la MEDIDA PAGA.,Esta PERSONA de acuerdo a la MEDIDA PAGA.,3
害,害,hài,,,,3
烟,煙,yān,,,,3
族,族,zú,,,,3
土,土,tǔ,tierra,De seguro muchos más de DIEZ tipos de SUELOS podemos encontrar si exploramos diferentes TIERRAS lejanas.,De seguro muchos más de DIEZ tipos de SUELOS podemos encontrar si exploramos diferentes TIERRAS lejanas.,3
互,互,hù,,,,3
据,據,jù,"acuerdo, instalar",Con nuestras MANOS firmamos y el lugar de RESIDENCIA ACORDAMOS.,-,3
卫,衛,wèi,,,,3
迷,迷,mí,,,,3
将,將,jiāng,,,,3
判,判,pàn,,,,3
争,爭,zhēng,,,,3
祝,祝,zhù,,,,3
尽,儘盡,jǐn,,,,3
批,批,pī,,,,3
访,訪,fǎng,,,,3
赶,趕,gǎn,,,,3
补,補,bǔ,,,,3
汤,湯,tāng,,,,3
糖,糖,táng,,,,3
念,念,niàn,,,,3
恐,恐,kǒng,,,,3
咖,咖,kā,,,,3
啡,啡,fēi,,,,3
石,石,shí,piedra,"En la BOCA de este PRECIPICIO, hay una PIEDRA gigante cubriendo la entrada a una cueva secreta.","En la BOCA de este PRECIPICIO, hay una PIEDRA gigante cubriendo la entrada a una cueva secreta.",3
浪,浪,làng,,,,3
缺,缺,quē,,,,3
羊,羊,yáng,oveja,"Esta REINA de la belleza, con CUERNOS y un BASTÓN es la OVEJA.","Esta REINA de la belleza, con CUERNOS y un BASTÓN es la OVEJA.",3
搬,搬,bān,,,,3
齐,齊,qí,,,,3
啤,啤,pí,,,,3
握,握,wò,agarra,Dentro de la CASA nuestras MANOS AGARRAMOS.,Dentro de la CASA nuestras MANOS AGARRAMOS.,3
屋,屋,wū,casa,Esta persona llegó a su CLÍMAX y se convirtió en un CADÁVER en esta CASA.,Esta persona llegó a su CLÍMAX y se convirtió en un CADÁVER en esta CASA.,3
暖,暖,nuǎn,,,,3
预,預,yù,,,,3
胖,胖,pàng,,,,3
苹,苹蘋,píng,,,,3
哈,哈,hā,,,,3
播,播,bō,,,,3
庆,慶,qìng,,,,3
善,善,shàn,,,,3
落,落,luò,,,,3
订,訂,dìng,,,,3
否,否,fǒu,,,,3
邮,郵,yóu,,,,3
甜,甜,tián,,,,3
剧,劇,jù,,,,3
泳,泳,yǒng,,,,3
夫,夫,fū,,,,3
吵,吵,chǎo,,,,3
乡,鄉,xiāng,,,,3
沙,沙,shā,,,,3
华,華,huá,,,,3
币,幣,bì,,,,3
冒,冒,mào,riesgo,Mirar el SOL directamente con los OJOS es un gran RIESGO.,Mirar el SOL directamente con los OJOS es un gran RIESGO.,3
李,李,lǐ,,,,3
裤,褲,kù,,,,3
牌,牌,pái,,,,3
巧,巧,qiǎo,,,,3
衬,襯,chèn,,,,3
衫,衫,shān,,,,3
材,材,cái,,,,3
散,散,sàn,,,,3
裙,裙,qún,,,,3
箱,箱,xiāng,,,,3
蕉,蕉,jiāo,,,,3
景,景,jǐng,,,,3
木,木,mù,árbol,Pictograma de un ÁRBOL.,Pictograma de un ÁRBOL.,3
汁,汁,zhī,,,,3
却,卻,què,,,,4
之,之,zhī,,,,4
担,擔,dān,,,,4
无,無,wú,,,,4
择,擇,zé,,,,4
政,政,zhèng,,,,4
府,府,fǔ,municipio,Los PAGOS son AMPLIOS en este MUNICIPIO.,Los PAGOS son AMPLIOS en este MUNICIPIO.,4
甚,甚,shèn,,,,4
研,研,yán,investigación,ABRIMOS esta PIEDRA para INVESTIGARLA.,ABRIMOS esta PIEDRA para INVESTIGARLA.,4
究,究,jiū,,,,4
供,供,gōng,,,,4
统,統,tǒng,,,,4
括,括,kuò,,,,4
获,獲穫,huò,,,,4
项,項,xiàng,,,,4
虑,慮,lǜ,,,,4
史,史,shǐ,,,,4
律,律,lǜ,,,,4
未,未,wèi,,,,4
严,嚴,yán,,,,4
投,投,tóu,,,,4
乎,乎,hū,,,,4
络,絡,luò,,,,4
附,附,fù,,,,4
释,釋,shì,,,,4
与,與,yǔ,,,,4
呀,呀,ya,,,,4
料,料,liào,,,,4
著,著,zhù,,,,4
置,置,zhì,,,,4
治,治,zhì,,,,4
疗,療,liáo,sanar,COMPLETAMOS esta ENFERMEDAD para luego SANAR.,QUEMAMOS esta ENFERMEDAD para SANAR esta persona.,4
构,構,gòu,,,,4
引,引,yǐn,,,,4
盘,盤,pán,,,,4
企,企,qǐ,,,,4
局,侷局,jú,oficina,Hasta los CADÁVERES dicen FRASES en esta OFICINA.,Hasta los CADÁVERES dicen FRASES en esta OFICINA.,4
轮,輪,lún,,,,4
致,緻致,zhì,,,,4
遇,遇,yù,,,,4
妻,妻,qī,,,,4
载,載,zài,,,,4
梦,夢,mèng,,,,4
申,申,shēn,,,,4
免,免,miǎn,,,,4
型,型,xíng,,,,4
销,銷,xiāo,,,,4
售,售,shòu,,,,4
战,戰,zhàn,,,,4
倍,倍,bèi,,,,4
授,授,shòu,,,,4
巨,巨,jù,,,,4
既,既,jì,,,,4
稳,穩,wěn,,,,4
抱,抱,bào,,,,4
丈,丈,zhàng,,,,4
址,阯址,zhǐ,,,,4
源,源,yuán,,,,4
毕,畢,bì,,,,4
承,承,chéng,,,,4
竟,竟,jìng,,,,4
寻,尋,xún,,,,4
吸,吸,xī,,,,4
阶,階,jiē,,,,4
秀,秀,xiù,,,,4
依,依,yī,,,,4
即,即,jí,,,,4
益,益,yì,,,,4
冲,沖衝,chōng,,,,4
兄,兄,xiōng,,,,4
圈,圈,quān,,,,4
案,案,àn,,,,4
殊,殊,shū,,,,4
顶,頂,dǐng,,,,4
挥,揮,huī,,,,4
独,獨,dú,,,,4
列,列,liè,,,,4
翻,翻,fān,,,,4
则,則,zé,,,,4
童,童,tóng,,,,4
措,措,cuò,,,,4
施,施,shī,,,,4
序,序,xù,"orden, secuencia",DAMOS AMPLIO ORDEN a nuestras cosas.,DAMOS AMPLIO ORDEN a nuestras cosas.,4
宝,寶,bǎo,,,,4
距,距,jù,,,,4
符,符,fú,,,,4
质,質,zhì,,,,4
醒,醒,xǐng,,,,4
测,測,cè,,,,4
贴,貼,tiē,,,,4
针,針,zhēn,,,,4
席,席,xí,asiento,Con VEINTE TOALLAS formamos este AMPLIO ASIENTO.,Con VEINTE TOALLAS formamos este AMPLIO ASIENTO.,4
松,鬆松,sōng,,,,4
权,權,quán,,,,4
户,戶,hù,,,,4
良,良,liáng,,,,4
居,居,jū,residir,Este VIEJO CADÁVER RESIDE en este lugar de descanso.,Este VIEJO CADÁVER RESIDE en este lugar de descanso.,4
迅,迅,xùn,,,,4
减,減,jiǎn,,,,4
挑,挑,tiāo,,,,4
彻,徹,chè,,,,4
怀,懷,huái,,,,4
疑,疑,yí,,,,4
货,貨,huò,,,,4
购,購,gòu,,,,4
败,敗,bài,,,,4
烧,燒,shāo,,,,4
摆,擺,bǎi,,,,4
降,降,jiàng,,,,4
秘,秘,mì,,,,4
密,密,mì,,,,4
趣,趣,qù,,,,4
移,移,yí,,,,4
奋,奮,fèn,,,,4
临,臨,lín,,,,4
避,避,bì,,,,4
官,官,guān,,,,4
限,限,xiàn,,,,4
戴,戴,dài,,,,4
操,操,cāo,,,,4
躺,躺,tǎng,,,,4
奖,獎,jiǎng,,,,4
垃,垃,lā,,,,4
圾,圾,jī,,,,4
婆,婆,pó,,,,4
盖,蓋,gài,,,,4
培,培,péi,,,,4
冰,冰,bīng,,,,4
县,縣,xiàn,,,,4
抽,抽,chōu,,,,4
码,碼,mǎ,,,,4
替,替,tì,,,,4
俩,倆,liǎ,,,,4
敌,敵,dí,,,,4
刺,刺,cì,,,,4
激,激,jī,,,,4
维,維,wéi,,,,4
均,均,jūn,,,,4
归,歸,guī,,,,4
登,登,dēng,ascender,Comemos LEGUMBRES para que nuestras PISADAS sean fuertes al ASCENDER por la montaña.,Comemos LEGUMBRES para que nuestras PISADAS sean fuertes al ASCENDER por la montaña.,4
卷,卷捲,juǎn,,,,4
译,譯,yì,,,,4
映,映,yìng,,,,4
贝,貝,bèi,almeja,"Con un sólo OJO, y sus PATITAS corriendo, va dando un susto a los bañistas esta ALMEJA.","Con un sólo OJO, y sus PATITAS corriendo, va dando un susto a los bañistas esta ALMEJA.",4
逐,逐,zhú,,,,4
渐,漸,jiàn,,,,4
编,編,biān,,,,4
闹,鬧,nào,,,,4
斗,斗鬥,dòu,,,,4
季,季,jì,,,,4
综,綜,zōng,,,,4
陆,陸,lù,,,,4
模,模,mó,,,,4
含,含,hán,,,,4
兵,兵,bīng,,,,4
士,士,shì,,,,4
扩,擴,kuò,,,,4
镜,鏡,jìng,,,,4
微,微,wēi,,,,4
细,細,xì,,,,4
召,召,zhào,,,,4
固,固,gù,,,,4
诗,詩,shī,,,,4
财,財,cái,,,,4
宽,寬,kuān,,,,4
透,透,tòu,,,,4
帅,帥,shuài,,,,4
暗,暗闇,àn,,,,4
呼,呼,hū,,,,4
圆,圓,yuán,,,,4
牙,牙,yá,,,,4
擦,擦,cā,,,,4
伙,夥伙,huǒ,,,,4
伴,伴,bàn,,,,4
禁,禁,jìn,,,,4
鲜,鮮鱻,xiān,,,,4
摸,摸,mō,,,,4
弱,弱,ruò,,,,4
折,折,zhé,,,,4
摇,搖,yáo,,,,4
阵,陣,zhèn,,,,4
守,守,shǒu,,,,4
寄,寄,jì,,,,4
闭,閉,bì,,,,4
妇,婦,fù,,,,4
征,征徵,zhēng,,,,4
阅,閱,yuè,,,,4
江,江,jiāng,,,,4
森,森,sēn,,,,4
林,林,lín,arboleda,Dos ÁRBOLES representan una ARBOLEDA.,Dos ÁRBOLES representan una ARBOLEDA.,4
脱,脫,tuō,,,,4
描,描,miáo,,,,4
述,述,shù,,,,4
隔,隔,gé,,,,4
闪,閃,shǎn,,,,4
促,促,cù,,,,4
阻,阻,zǔ,,,,4
袋,袋,dài,,,,4
泪,淚,lèi,,,,4
薄,薄,báo,,,,4
肚,肚,dù,,,,4
湿,濕,shī,,,,4
纯,純,chún,,,,4
腰,腰,yāo,,,,4
锻,鍛,duàn,,,,4
炼,煉,liàn,,,,4
玉,玉,yù,,,,4
厚,厚,hòu,,,,4
勇,勇,yǒng,,,,4
刷,刷,shuā,,,,4
沉,沉,chén,,,,4
默,默,mò,,,,4
肥,肥,féi,,,,4
聊,聊,liáo,,,,4
趋,趨,qū,,,,4
诚,誠,chéng,,,,4
余,余餘,yú,,,,4
聚,聚,jù,,,,4
纷,紛,fēn,,,,4
堵,堵,dǔ,,,,4
率,率,lǜ,,,,4
航,航,háng,,,,4
辣,辣,là,,,,4
盐,鹽,yán,,,,4
棵,棵,kē,,,,4
植,植,zhí,,,,4
晒,曬,shài,,,,4
汇,彙匯,huì,,,,4
梯,梯,tī,,,,4
窗,窗,chuāng,,,,4
酸,酸,suān,,,,4
帽,帽,mào,,,,4
淡,淡,dàn,,,,4
潮,潮,cháo,,,,4
穷,窮,qióng,,,,4
叔,叔,shū,,,,4
填,填,tián,,,,4
粗,粗麤,cū,,,,4
粮,糧,liáng,,,,4
逛,逛,guàng,,,,4
浅,淺,qiǎn,,,,4
迫,迫,pò,,,,4
惊,驚,jīng,,,,4
弯,彎,wān,,,,4
幼,幼,yòu,,,,4
恶,惡,è,,,,4
塑,塑,sù,,,,4
浓,濃,nóng,,,,4
遗,遺,yí,,,,4
笨,笨,bèn,,,,4
延,延,yán,,,,4
阿,阿,ā,,,,4
姨,姨,yí,,,,4
扫,掃,sǎo,,,,4
燃,燃,rán,,,,4
途,途,tú,,,,4
缓,緩,huǎn,,,,4
谓,謂,wèi,,,,4
尺,尺,chǐ,,,,4
伞,繖傘,sǎn,,,,4
迟,遲,chí,,,,4
招,招,zhāo,,,,4
赞,贊,zàn,,,,4
巴,巴,bā,desear,A las SERPIENTES con este BASTÓN DESEO espantarlas.,A las SERPIENTES con este BASTÓN DESEO espantarlas.,4
寸,寸,cùn,medida,"Una DÉCIMA parte, como sólo una GOTA, de un chǐ, otra antigua unidad de medida, representaba esta antigua unidad de MEDIDA.","Una DÉCIMA parte, como sólo una GOTA, de un chǐ, otra antigua unidad de medida, representaba esta antigua unidad de MEDIDA.",4
智,智,zhì,,,,4
缩,縮,suō,,,,4
矮,矮,ǎi,,,,4
孙,孫,sūn,,,,4
裹,裹,guǒ,,,,4
暑,暑,shǔ,,,,4
瓜,瓜,guā,,,,4
胸,胸,xiōng,,,,4
寒,寒,hán,,,,4
抄,抄,chāo,,,,4
骨,骨,gǔ,,,,4
豆,豆,dòu,,,,4
腐,腐,fǔ,,,,4
宁,寧,níng,,,,4
巾,巾,jīn,toalla,"En este BASTÓN colgamos esta CAPUCHA, que en realidad es una TOALLA.","En este BASTÓN colgamos esta CAPUCHA, que en realidad es una TOALLA.",4
耳,耳,ěr,,,,4
咸,咸鹹,xián,,,,4
尾,尾,wěi,,,,4
尚,尚,shàng,estimado,Este PEQUEÑO EXTRATERRESTRE es muy ESTIMADO en su comunidad.,Este PEQUEÑO EXTRATERRESTRE es muy ESTIMADO en su comunidad.,4
赏,賞,shǎng,,,,4
劲,勁,jìn,,,,4
袜,襪,wà,,,,4
辩,辯,biàn,,,,4
叶,葉叶,yè,,,,4
扬,揚,yáng,,,,4
递,遞,dì,,,,4
郎,郎,láng,,,,4
虫,蟲,chóng,,,,4
亚,亞,yà,,,,4
矿,礦,kuàng,,,,4
泉,泉,quán,,,,4
厘,釐,lí,,,,4
俗,俗,sú,,,,4
毫,毫,háo,,,,4
雷,雷,léi,,,,4
唯,唯,wéi,,,,5
织,織,zhī,,,,5
肯,肯,kěn,acuerdo,Nos DETENEMOS a mirar la LUNA antes de tomar un ACUERDO.,Nos DETENEMOS a mirar la LUNA antes de tomar un ACUERDO.,5
搞,搞,gǎo,,,,5
控,控,kòng,,,,5
拥,擁,yōng,,,,5
令,令,lìng,,,,5
析,析,xī,,,,5
杀,殺,shā,,,,5
版,版,bǎn,,,,5
享,享,xiǎng,,,,5
键,鍵,jiàn,,,,5
筑,筑築,zhù,,,,5
博,博,bó,,,,5
弃,棄,qì,,,,5
执,執,zhí,,,,5
恢,恢,huī,,,,5
秒,秒,miǎo,,,,5
竞,競,jìng,,,,5
冠,冠,guān,,,,5
军,軍,jūn,,,,5
抢,搶,qiǎng,,,,5
旦,旦,dàn,,,,5
幅,幅,fú,,,,5
拒,拒,jù,,,,5
央,央,yāng,,,,5
辑,輯,jí,,,,5
协,協,xié,,,,5
估,估,gū,,,,5
颗,顆,kē,,,,5
陪,陪,péi,,,,5
摄,攝,shè,,,,5
掌,掌,zhǎng,,,,5
龄,齡,líng,,,,5
域,域,yù,región,Aquí vemos toda esta TIERRA O al menos toda esta REGIÓN.,Aquí vemos toda esta TIERRA O al menos toda esta REGIÓN.,5
触,觸,chù,,,,5
邀,邀,yāo,,,,5
俱,俱,jù,,,,5
损,損,sǔn,,,,5
悉,悉,xī,,,,5
枪,槍,qiāng,,,,5
击,擊,jī,,,,5
忆,憶,yì,,,,5
册,冊,cè,,,,5
启,啟,qǐ,,,,5
贷,貸,dài,,,,5
款,款,kuǎn,,,,5
软,軟,ruǎn,,,,5
尊,尊,zūn,,,,5
革,革,gé,,,,5
剩,剩,shèng,,,,5
尤,尤,yóu,,,,5
届,屆,jiè,,,,5
偷,偷,tōu,,,,5
乏,乏,fá,,,,5
呆,呆,dāi,,,,5
鼓,鼓,gǔ,,,,5
励,勵,lì,,,,5
甲,甲,jiǎ,,,,5
频,頻,pín,,,,5
肤,膚,fū,,,,5
棒,棒,bàng,,,,5
疯,瘋,fēng,,,,5
狂,狂,kuáng,,,,5
矛,矛,máo,,,,5
盾,盾,dùn,,,,5
丢,丟,diū,,,,5
仔,仔,zǎi,,,,5
暂,暫蹔,zàn,,,,5
德,德,dé,,,,5
惜,惜,xī,,,,5
签,籤籖簽,qiān,,,,5
傻,傻,shǎ,,,,5
欣,欣,xīn,,,,5
射,射,shè,,,,5
凭,憑,píng,,,,5
详,詳,xiáng,,,,5
洞,洞,dòng,,,,5
撞,撞,zhuàng,,,,5
骗,騙,piàn,,,,5
吓,嚇,xià,,,,5
曲,曲麴,qū,,,,5
鬼,鬼,guǐ,,,,5
库,庫,kù,bodega,Muchos VEHÍCULOS se pueden guardar en esta AMPLIA BODEGA.,Muchos VEHÍCULOS se pueden guardar en esta AMPLIA BODEGA.,5
玻,玻,bō,,,,5
璃,琍璃,lí,,,,5
贸,貿,mào,,,,5
尝,嘗,cháng,,,,5
吨,噸,dūn,,,,5
逃,逃,táo,,,,5
聪,聰,cōng,,,,5
毒,毒,dú,,,,5
彼,彼,bǐ,,,,5
沟,溝,gōu,,,,5
乘,乘,chéng,,,,5
润,潤,rùn,,,,5
骂,罵,mà,,,,5
欠,欠,qiàn,"carencia, bostezo","Pictograma de una persona bostezando, indicando la CARENCIA de sueño.","Pictograma de una persona bostezando, indicando la CARENCIA de sueño.",5
